Category,Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Arts & Entertainment/Movies/Science Fiction & Fantasy Films,18-24,Male,6871,5989,12633,0.367,4.87,00:03:21,362,27018.6,0.0287
Travel & Transportation/Hotels & Accommodations,18-24,Male,6749,5682,12793,0.328,5.66,00:03:22,498,44993.12,0.0389
[Life Events] College Graduation/Graduating Soon,18-24,Male,6661,5713,12928,0.339,5.17,00:03:59,428,35649.25,0.0331
[Life Events] Business Creation/Recently Started a Business,18-24,Male,6637,5525,13836,0.352,5.13,00:03:56,421,36789.32,0.0304
Sports/Team Sports/Basketball,18-24,Male,6601,5779,12476,0.329,5.3,00:03:43,342,30391.45,0.0274
[Life Events] Business Creation/Starting a Business Soon,18-24,Male,6545,5475,13384,0.362,4.91,00:03:42,357,29943.13,0.0267
Autos & Vehicles/Vehicle Shopping/Used Vehicles,18-24,Male,6459,5467,12325,0.359,5.55,00:03:39,324,27270.41,0.0263
Travel & Transportation/Transportation/Long Distance Bus & Rail,18-24,Male,6450,5506,12144,0.323,6.29,00:03:32,483,39834.64,0.0398
Online Communities/Social Networks,18-24,Male,6114,5232,12082,0.367,4.85,00:03:11,280,23681.94,0.0232
Arts & Entertainment/Humor/Funny Pictures & Videos,18-24,Male,5933,5253,10373,0.378,4.61,00:03:10,291,23562.02,0.0281
Sports/Team Sports/Cricket,18-24,Male,5861,5036,11426,0.378,4.8,00:03:00,316,25782.27,0.0277
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,18-24,Male,5833,5152,11516,0.411,4.59,00:02:48,283,21862.08,0.0246
Finance/Investing/Stocks & Bonds,18-24,Male,5513,4810,10109,0.288,6.19,00:04:14,417,41389.37,0.0413
Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,18-24,Male,5493,4706,9901,0.361,4.78,00:03:11,325,23754.37,0.0328
Internet & Telecom/Email & Messaging/Email,18-24,Male,5482,4848,10054,0.308,6.73,00:04:18,384,36088.19,0.0382
Sports/Team Sports/Rugby,18-24,Male,5298,4452,9476,0.332,5.08,00:03:09,327,28490.21,0.0345
